Model,Threads,Batch Size,Min Time,Max Time,Avg Time
mlp,1,1,0.0000558,0.0001204,0.0000625
mlp,1,16,0.0001137,0.0001395,0.0001244
mlp,1,1024,0.0008686,0.0015903,0.0013911
cnn,1,1,0.0002272,0.0003004,0.0002367
cnn,1,16,0.0007057,0.0011582,0.0007338
cnn,1,1024,0.0200675,0.0546515,0.0466605
mlp,4,1,0.0000408,0.0000768,0.0000463
mlp,4,16,0.0000813,0.0000968,0.0000841
mlp,4,1024,0.0005836,0.0015810,0.0009187
cnn,4,1,0.0002236,0.0002940,0.0002368
cnn,4,16,0.0004103,0.0004771,0.0004216
cnn,4,1024,0.0070927,0.0271254,0.0165749
mlp,16,1,0.0000396,0.0000753,0.0000418
mlp,16,16,0.0000734,0.0000892,0.0000753
mlp,16,1024,0.0005298,0.0010183,0.0006847
cnn,16,1,0.0005441,0.0014563,0.0006351
cnn,16,16,0.0003400,0.0005779,0.0003577
cnn,16,1024,0.0031521,0.0127549,0.0087053
mlp,32,1,0.0000465,0.0000691,0.0000491
mlp,32,16,0.0000725,0.0000942,0.0000758
mlp,32,1024,0.0004668,0.0049536,0.0007064
cnn,32,1,0.0015681,0.0055575,0.0019707
cnn,32,16,0.0003886,0.0005760,0.0004046
cnn,32,1024,0.0045104,0.0166092,0.0112966
